stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
1890.HK,NA,NA,NA,NA,NA,NA,29/12/2023
8168.HK,NA,NA,NA,NA,NA,NA,29/12/2023
8450.HK,NA,NA,NA,NA,NA,28/12/2023,NA
8451.HK,NA,NA,NA,NA,NA,NA,28/12/2023
2001.HK,NA,NA,NA,NA,NA,28/12/2023,NA
1593.HK,NA,NA,NA,NA,NA,NA,28/12/2023
6068.HK,NA,NA,NA,NA,NA,NA,28/12/2023
1969.HK,NA,NA,NA,NA,NA,NA,28/12/2023
1565.HK,NA,NA,NA,NA,NA,NA,27/12/2023
6169.HK,NA,NA,NA,NA,NA,NA,27/12/2023
0382.HK,NA,NA,NA,NA,NA,NA,27/12/2023
1758.HK,NA,NA,NA,NA,NA,NA,22/12/2023
1449.HK,NA,NA,NA,NA,NA,NA,21/12/2023
1317.HK,NA,NA,NA,NA,NA,NA,21/12/2023
1773.HK,NA,NA,NA,NA,NA,NA,21/12/2023
1555.HK,NA,NA,NA,NA,NA,20/12/2023,NA
1756.HK,NA,NA,NA,NA,NA,NA,19/12/2023
0839.HK,NA,NA,NA,NA,NA,19/12/2023,NA
1765.HK,NA,NA,NA,NA,NA,NA,15/12/2023
1091.HK,NA,NA,NA,NA,NA,11/12/2023,NA
1802.HK,NA,NA,NA,NA,NA,06/12/2023,NA
8013.HK,NA,NA,NA,NA,NA,NA,30/11/2023
0193.HK,NA,NA,NA,NA,NA,NA,29/11/2023
8356.HK,NA,NA,NA,NA,NA,23/11/2023,NA
2608.HK,NA,NA,NA,NA,NA,23/11/2023,NA
8356.HK,NA,NA,NA,NA,21/11/2023,NA,NA
0122.HK,NA,NA,NA,NA,NA,17/11/2023,NA
0191.HK,NA,NA,NA,NA,NA,NA,16/11/2023
0488<br/>40782.HK,NA,NA,NA,NA,NA,NA,16/11/2023
1125.HK,NA,NA,NA,NA,NA,NA,16/11/2023
0571.HK,NA,NA,NA,NA,NA,NA,16/11/2023
1775.HK,NA,NA,NA,NA,NA,NA,16/11/2023
1310.HK,NA,NA,NA,NA,NA,NA,15/11/2023
6189.HK,NA,NA,NA,NA,NA,14/11/2023,NA
1002.HK,NA,NA,NA,NA,NA,10/11/2023,NA
1107.HK,NA,NA,NA,NA,NA,07/11/2023,NA
0884.HK,NA,NA,NA,NA,NA,03/11/2023,NA
2102.HK,NA,NA,NA,NA,NA,NA,02/11/2023
1360.HK,NA,NA,NA,NA,NA,31/10/2023,NA
0943.HK,NA,NA,NA,NA,NA,NA,31/10/2023
0559.HK,NA,NA,NA,NA,NA,NA,31/10/2023
0033.HK,NA,NA,NA,NA,NA,NA,31/10/2023
0070.HK,NA,NA,NA,NA,NA,30/10/2023,NA
1673.HK,NA,NA,NA,NA,NA,NA,30/10/2023
0197.HK,NA,NA,NA,NA,NA,30/10/2023,NA
1116.HK,NA,NA,NA,NA,NA,NA,30/10/2023
8293.HK,NA,NA,NA,NA,NA,NA,30/10/2023
1009.HK,NA,NA,NA,NA,NA,30/10/2023,NA
0519.HK,NA,NA,NA,NA,NA,NA,30/10/2023
0565.HK,NA,NA,NA,NA,NA,NA,30/10/2023
0254.HK,NA,NA,NA,NA,NA,NA,30/10/2023
0073.HK,NA,NA,NA,NA,NA,30/10/2023,NA
1069.HK,NA,NA,NA,NA,NA,NA,30/10/2023
3708.HK,NA,NA,NA,NA,NA,NA,30/10/2023
0660.HK,NA,NA,NA,NA,NA,30/10/2023,NA
1195.HK,NA,NA,NA,NA,NA,NA,30/10/2023
0756.HK,NA,NA,NA,NA,NA,NA,30/10/2023
0333.HK,NA,NA,NA,NA,NA,NA,30/10/2023
1419.HK,NA,NA,NA,NA,NA,NA,30/10/2023
1975.HK,NA,NA,NA,NA,NA,27/10/2023,NA
1676.HK,NA,NA,NA,NA,NA,27/10/2023,NA
1079.HK,NA,NA,NA,NA,NA,NA,27/10/2023
0924.HK,NA,NA,NA,NA,NA,27/10/2023,NA
0188.HK,NA,NA,NA,NA,NA,NA,27/10/2023
3893.HK,NA,NA,NA,NA,NA,27/10/2023,NA
1326.HK,NA,NA,NA,NA,NA,27/10/2023,NA
9998.HK,NA,NA,NA,NA,NA,NA,27/10/2023
0495.HK,NA,NA,NA,NA,NA,NA,27/10/2023
1046.HK,NA,NA,NA,NA,NA,NA,27/10/2023
1752.HK,NA,NA,NA,NA,NA,NA,26/10/2023
0029.HK,NA,NA,NA,NA,NA,26/10/2023,NA
2309.HK,NA,NA,NA,NA,NA,26/10/2023,NA
1960.HK,NA,NA,NA,NA,NA,NA,26/10/2023
1059.HK,NA,NA,NA,NA,NA,NA,26/10/2023
1995.HK,NA,NA,NA,NA,NA,26/10/2023,NA
0092.HK,NA,NA,NA,NA,NA,NA,26/10/2023
1849.HK,NA,NA,NA,NA,NA,26/10/2023,NA
2033.HK,NA,NA,NA,NA,NA,NA,26/10/2023
1726.HK,NA,NA,NA,NA,NA,NA,26/10/2023
1166.HK,NA,NA,NA,NA,NA,NA,26/10/2023
0513.HK,NA,NA,NA,NA,NA,NA,25/10/2023
0331.HK,NA,NA,NA,NA,NA,25/10/2023,NA
3626.HK,NA,NA,NA,NA,NA,NA,25/10/2023
0722.HK,NA,NA,NA,NA,NA,NA,25/10/2023
0183.HK,NA,NA,NA,NA,NA,25/10/2023,NA
2689.HK,NA,NA,NA,NA,NA,25/10/2023,NA
1104.HK,NA,NA,NA,NA,NA,NA,25/10/2023
0979.HK,NA,NA,NA,NA,NA,25/10/2023,NA
0591.HK,NA,NA,NA,NA,NA,NA,25/10/2023
2293.HK,NA,NA,NA,NA,NA,NA,24/10/2023
0017.HK,NA,NA,NA,NA,NA,NA,24/10/2023
0825.HK,NA,NA,NA,NA,NA,NA,20/10/2023
1082.HK,NA,NA,NA,NA,NA,NA,20/10/2023
0053.HK,NA,NA,NA,NA,NA,NA,19/10/2023
0682.HK,NA,NA,NA,NA,NA,19/10/2023,NA
1023.HK,NA,NA,NA,NA,NA,NA,19/10/2023
2211.HK,NA,NA,NA,NA,NA,19/10/2023,NA
9896.HK,NA,NA,NA,NA,NA,NA,19/10/2023
0491.HK,NA,NA,NA,NA,NA,19/10/2023,NA
0862.HK,NA,NA,NA,NA,NA,NA,19/10/2023
